0,1,2,3,4,5
Room,Chosen as first choice,Chosen as second choice,Chosen as third choice,Chosen as fourth choice,Chosen as fifth choice
2A,1,,,,1
2B,,,,,1
2C,,,,,
2D,,2,,,
2E,,,1,,
2G,1,2,1,,2
2H,1,,,,
2J,,,1,1,
4A,,1,,,
4B,1,1,,1,
4C,1,2,1,2,
4D,2,,,,
4E,,,1,,
4F,,,,,
4G,,,,,
4H,,1,1,,
4J,2,1,2,,1
4K,,,,,
5A,2,,,,
5B,2,1,,2,
5C,,,4,1,1
5D,1,1,1,2,2
5E,,2,2,,
5F,1,1,1,1,1
5G,1,1,1,1,
5H,1,1,,,3
5J,,1,,2,
5K,,,,1,
5L,,,1,1,1
5M,,,1,,
5N,,,,1,1
6A,,,,,
6D,1,,1,,
6E,,,,2,
7A,,1,,,
7B,,,,,
7C,,,,,2
7D,,,1,,1
7E,,,,,
7F,,,,,
7G,,,,,
8A,,,,,
8B,1,,,1,1
8C,,1,,1,1
8D,,,,1,1
8E,,,2,1,
8F,,1,1,,
8G,,2,,,
8H,1,,,,
8J,,,1,,
8K,,1,1,,
8L,2,,,1,1
8M,1,2,1,,2
8N,1,,,1,
8P,1,,,,
8Q,,,,,1
9A,,,,,
9B,,,,,
9D,,,,,
9E,,,,,
9F,,,,,
9G,,,,,
9H,,,,,
9J,,,,,
9K,,,,,
10F,,,,,
10G,,,,,2
10H,,1,,,
10J,,1,1,1,
10K,1,1,,1,1
10L,,2,,,
11A,,,,,
11B,,,,1,
11C,1,,1,,
11D,,,,1,
11E,1,,,,
11F,,1,,,1
12A,1,,1,,2
12B,,,,,
12C,,,,,
12D,,,,,
12E,1,,,,
12G,,,1,,
14I,,,,,
14J,,,,,1
14K,,1,,,
14L,,,,1,1
14M,,,,,
14N,,,1,,
14O,,1,,,
14P,1,,,1,
15A,1,,1,,
15B,,1,,1,1
15J,,,,,
15K,1,1,,,
15L,,,,,1
15M,1,,,1,
15N,,,,1,
15O,1,,,,
15P,,1,,,2
15Q,,,,1,
15R,1,,1,,
15S,,1,1,,
15T,,,3,,1
15U,,2,1,1,
15V,1,1,,,2
15W,,1,2,1,2
15X,1,1,1,3,1
15Y,1,,,1,1
15Z,1,1,2,,1
16A,,1,,1,
16B,1,,1,2,
16C,2,,1,1,1
16D,1,1,,,1
16E,,1,,,
16F,1,1,,,1
16G,,,,,1
16H,,,1,,
16I,1,,,,1
16J,,,,,
16K,,,,,
16L,,,,,
16M,,1,2,,
16N,,,,,
16O,1,,,,
16P,,1,,1,
16Q,,1,,,
16R,1,,,,1
16S,,1,1,1,1
16T,,,1,1,
16U,,,,2,1
16V,1,,,2,
16W,,1,1,,
16X,1,1,1,,3
16Y,,1,1,1,
16Z,4,1,,,
31D,,,,1,
31E,,,,,1
31F,,,,,
31G,,,,1,1
31H,1,,,,
31J,1,,,,
31K,1,,,1,
31L,1,,,1,2
32F,,,,1,
32G,,,,1,
32H,,,,1,1
32J,,,,1,
33H,,,,,
33J,,,,,
33K,,,,,
33L,,,,,
36K,,,,,
36L,,,,,
36M,,,,,
36N,,1,,,
36P,1,,,1,
36Q,,,,,
36R,,,,,
36S,,,,,
37B,,,,1,
37C,,,,,
37D,,,,,
37E,,,,,
37F,,,,,
37G,,,1,,
38A,,,,,
38B,,1,1,,
38C,,,,,
38D,,2,2,,
38E,1,1,1,1,
38F,1,,,2,
38G,,1,,,
38H,1,1,,1,1
38J,1,1,,,
39A,,,,,
39B,,,,,
39C,,,,,
39D,,,,,
39E,,,,,
39F,,,,,
39G,,,,,
39H,,,,,
39J,,,,,
39K,,,,,
40A,1,,,1,
40B,,,,,
40C,,,,,
40D,1,1,,,
40E,1,1,,,
40F,,,,,1
40G,,,,,
41A,,,,,
41B,,,,,
41C,3,1,,1,1
41D,1,,,,1
41E,1,2,,,
41F,,1,3,2,1
42A,2,,,,
42B,1,1,2,,1
42C,,2,1,1,
42D,,,,1,1
42E,,,,4,1
42F,,1,1,1,2
42G,2,,2,1,1
42H,1,2,4,1,1
42J,,,2,,2
44A,,,,,
44B,,,,,
44C,1,1,,,
44D,1,1,1,1,
44E,1,,2,1,1
44F,,,2,,1
44G,1,,,,
44H,,2,,1,
45J,,,,1,
45K,,,,,
45L,,,,,
45M,,,1,,
45N,,1,,,
45P,,,,,
46J,,,,,1
46K,,,,,1
46L,,,,,
46M,1,,,,1
46N,,,,,1
46P,,,,,
47E,1,,,,
47G,,1,,,
47H,,,,,2
47J,,,,,
47L,,,,,
47M,,,,,
48B,,1,,,1
48C,,,,,
48D,,,,,
48F,,,,,
48G,,,,,
48J,,,,,
48K,,,,,
50B,,1,1,,
50C,1,,,1,
50D,,,,,1
50E,1,,2,,
50F,,,,1,
50G,,,,,1
50H,,,,,1
51B,,,,,
51C,,,,,
51D,,,,,
51F,,,1,,
51G,,,,,
51H,,,,,
51J,,,,,
51K,,,,,
52C,,,,,
52F,,,,,
52G,,,,,
52H,,,,,
52J,,,,,
52K,,,1,,1
52L,,,,,
52M,,,,,
52N,,,,,
52P,,,,,
53A,1,,,1,
53B,,1,1,,
53C,,,1,,
53D,,,,,
53E,,,,,
53F,,,,,
53G,,,,,
53H,,,,,
53K,,,,,
53L,,,,,
53M,,,,,
53N,,,,,
53P,,,,,
53Q,,,,,
53R,,,,,
53S,,,,,
54A,1,,,,
54B,,1,,1,
54C,1,,1,,
54D,,,,,1
54E,1,1,,,2
54F,,,,2,
54G,,,2,,
54J,1,2,1,,
54K,1,1,,,
55A,,,,,
55B,,,,,
55C,,,,,1
55D,,,,,
55E,,,,,
55F,,,,,
55G,,,,,
55H,,,,,1
55J,,,,,
56A,,,,,1
56B,,,,,1
56C,1,1,2,1,
56D,1,,,3,
56E,1,2,1,,
56F,1,2,1,,
57A,,,,,
57B,,,,,
57E,,,,,
57F,,,,,
57G,,,,,
57J,,,,,
57K,,,,,
58A,,,,,
58B,,,,1,1
58C,,,,,
58D,,,,1,
58E,,,,,
